filename,text
cs/default/8ea8fa.wav,"Vývrtka s taženou smyčkou. Jeden a půl do prostoru normál, tažený kop na výletu."
cs/default/b165d2.wav,Zatáčka o sto osmdesát na zádech.
cs/default/85ab47.wav,"Výkruty do kruhu dvě stě sedmdesát. Celý dovnitř, půlka ven. Výlet normál a Out."
cs/default/da0cb7.wav,"Tři výkruty dovnitř kruhu dvě stě sedmdesát. Výlet normál, kolmo."
cs/default/d1e8b6.wav,Tři výkruty dovnitř kruhu dvě stě sedmdesát. Výlet normál napříč.
cs/default/07d57c.wav,"Jeden výkrut ven, jeden dovnitř kruhu tři sta šedesát. Výlet záda."
cs/default/33df59.wav,Pětačtyřicet dolů. Výlet ve spodní.
cs/default/118a7f.wav,Jeden výkrut dovnitř kruhu devadesát stupňů. Výlet záda a Out.
cs/default/788a52.wav,Devadesátka. Celý dovnitř. Výlet záda napříč.
cs/default/78b7e2.wav,Půl přesýpaček. V obou pětačtyřiceti nahoru půlka. Výlet záda v horní.
cs/default/f0de7d.wav,"Dvojitá smyčka. Nahoru nic, dolů dvě čtvrtky, tlač nahoru, třičtvrtě taženého kopu. Táhni do vrchní, výlet záda."
cs/default/6d4483.wav,"Dvojitá tažená smyčka. Půlka a proti dva ze čtyřbodu dolů, na výletu třičtvrtě a čtvrtka proti."
cs/default/5afbfd.wav,"Dvojitá tažená smyčka. Čtvrtka nahoru, tažený kop dolů, dvě osminy nahoru proti. Přitáhnout na záda."
cs/default/3054df.wav,Obrácené N. Dvě půlky v pětačtyřiceti a zatlač střemhlav. Výlet ve spodní a Out.
cs/default/69aa05.wav,"Tažená smyčka dolů. Čtvrtka a stejný směr jeden a čtvrt taženého kopu na vstupu, na výletu kop proti a tažený kop. Výlet záda."
cs/default/db1be6.wav,"Tažená smyčka dolů. Jeden a čtvrt vývrtky, na výletu čtyři z osmibodu. Výlet záda napříč."
cs/default/7843ae.wav,"Tažená smyčka dolů. Zatlač, dvě čtvrtky dolů, celý nahoru. Zatlač na výlet normál."
cs/default/324135.wav,"Tažená smyčka dolů. Jeden a čtvrt vývrtky a proti třičtvrtě tlačeného kopu, na výletu čtyři z osmibodu. Výlet záda."
cs/default/ff8000.wav,"Jedna a třičtvrtě vývrtky do spodní tažené smyčky. Výlet na zádech napříč, v horní."
cs/default/e14425.wav,"Obrácený přemet. Tlač, třičtvrtě výkrutu do třičtvrtě taženého proti dole."
cs/default/74adbe.wav,P lup dolů. Na vstupu tři ze čtyřbodu a třičtvrtě proti.
cs/default/49801d.wav,Q lup dolů. Tlačený kop na vstupu. Výlet záda.
cs/default/48017f.wav,"Q lup dolů. Tři ze čtyřbodu a stejný směr jeden a třičtvrtě taženého kopu na vstupu, na výletu jeden a půl kopu proti."
cs/default/6410d4.wav,"Obrácený zub. Střemhlav, třičtvrtě výkrutu, dvě čtvrtky v pětačtyřiceti nahoru. Výlet záda."
cs/default/414026.wav,"Zub dolů. Začíná dvěma vývrtkami, táhni do 45 nahoru."
cs/default/abcd26.wav,"Slza dolů. Jeden a půl do prostoru normál, na výletu čtyřbod. Výlet záda."
cs/default/9e2926.wav,"Enko. Táhni devadesát nahoru, do pětačtyřiceti dolů dvě čtvrtky, a devadesát do horní. Výlet záda."
cs/default/52d04f.wav,"P lup. Na vstupu dvoubod, půlka na výletu."
cs/default/2d2053.wav,"P lup. Nahoru čtyřbod, nahoře integruj celý, tažený kop na výletu."
cs/default/67a43e.wav,"Zlatá rybka. Dvě čtvrtky v první pětačtyřiceti, ve druhé nic. Výlet v horní."
cs/default/705bd0.wav,"Půl Kuba. Celý na vstupu, půlka na výletu."
cs/default/1d04f3.wav,Půl Kuba. Na výletu dva ze čtyřbodu.
cs/default/881636.wav,"Tlačená půl Kuba. Dvě půlky dolů, a Out."
cs/default/a69a0f.wav,"Půl Kuba. pětačtyřicet nahoru, třičtvrtě a tři čtvrtky proti, tlač, dvě půlky na výletu záda."
cs/default/4edc53.wav,"Půl obrácené Kuby. Tlač pětačtyřicet dolů, čtyři osminy, tlač, na výletu tři čtvrtky a třičtvrtě zpět. Výlet normálně."
cs/default/bb63fb.wav,"Půl obrácené kuby. Jeden a půl tlačeného kopu do normálu, na výstupu čtyři osminy a čtyři proti. Záda."
cs/default/75794b.wav,"Půl obrácené kuby. tlač pětačtyřicet, pět čtvrtek do nože, čtvrtka proti, táhni, na výletu jeden a třičtvrtě taženého, proti tři čtvrtky. Výlet normál a Out."
cs/default/7b0fe9.wav,Půl obrácené Kuby. Nahoru dva ze čtyřbodu. Výlet záda.
cs/default/55a394.wav,"Souvrat. Čtvrtka nahoru, čtvrtka dolů."
cs/default/af6f8e.wav,"Souvrat. Třičtvrtě výkrutu do třičtvrtě taženého proti nahoru, čtyři osminy dolů, výlet záda."
cs/default/460043.wav,Souvrat.
cs/default/cb8782.wav,"Souvrat. Čtyři osminy nahoru, třičtvrtě tlačený kop a stejně třičtvrtě dolů."
cs/default/5dc8d3.wav,"Souvrat. Nahoru jeden a čtvrt, dolů tři ze čtyřbodu."
cs/default/6e38a2.wav,"Souvrat. Zatlač devadesát, půlka nahoru, dvě čtvrtky dolů, tlač do pětačtyřiceti na záda s půlkou, výlet normál."
cs/default/f3324c.wav,"Souvrat. Třičtvrtě tlačeného kopu a proti dva z osmibodu nahoru, půl taženého kopu dolů. Výlet záda."
cs/default/543ef4.wav,"Souvrat. Nahoru třičtvrtě tlačeného kopu, dolů jeden a čtvrt. Výlet záda."
cs/default/ae3462.wav,"Souvrat se vstupem pětačtyřicet. Půlka nahoru, půlka dolů."
