filename,text
2026/basic/en/gb/rst.wav,Basic sequence reset.
2026/basic/en/gb/mnvr01.wav,Loop.
2026/basic/en/gb/mnvr02.wav,Reverse Half Cuban. Half roll on the 45 upline.
2026/basic/en/gb/mnvr03.wav,Roll.
2026/basic/en/gb/mnvr04.wav,Immelmann. Half roll at the top.
2026/basic/en/gb/mnvr05.wav,45 Downline.
2026/basic/en/gb/mnvr06.wav,Hammerhead.
2026/basic/en/gb/mnvr07.wav,"Humpty Bump. Half roll on the upline, half roll on the downline."
2026/basic/en/gb/mnvr08.wav,"Vertical Upline. Half roll, push to exit."
2026/basic/en/gb/mnvr09.wav,Down Sharks Tooth. Two turn positive spin on entry.
2026/basic/en/gb/mnvr10.wav,Split S. Half roll to enter.
