filename,text
2026/basic/en/rst.wav,Basic sequence reset.
2026/basic/en/mnvr01.wav,Loop.
2026/basic/en/mnvr02.wav,Reverse Half Cuban. Half roll on the 45 upline.
2026/basic/en/mnvr03.wav,Roll.
2026/basic/en/mnvr04.wav,Immelmann. Half roll at the top.
2026/basic/en/mnvr05.wav,45 Downline.
2026/basic/en/mnvr06.wav,Hammerhead.
2026/basic/en/mnvr07.wav,"Humpty Bump. Half roll on the upline, half roll on the downline."
2026/basic/en/mnvr08.wav,"Vertical Upline. Half roll, push to exit."
2026/basic/en/mnvr09.wav,Down Sharks Tooth. Two turn positive spin on entry.
2026/basic/en/mnvr10.wav,Split S. Half roll to enter.
