filename,text
2026/basic/nl/default/rst.wav,Basic-sequentie gereset.
2026/basic/nl/default/mnvr01.wav,Loop.
2026/basic/nl/default/mnvr02.wav,Reverse Half Cuban. Halve rol op de 45 graden stijglijn.
2026/basic/nl/default/mnvr03.wav,Roll.
2026/basic/nl/default/mnvr04.wav,Immelmann. Halve rol bovenaan.
2026/basic/nl/default/mnvr05.wav,45 Downline.
2026/basic/nl/default/mnvr06.wav,Hammerhead.
2026/basic/nl/default/mnvr07.wav,"Humpty Bump. Halve rol op de stijglijn, halve rol op de daallijn."
2026/basic/nl/default/mnvr08.wav,"Vertical Upline. Halve rol, gedrukte uitgang."
2026/basic/nl/default/mnvr09.wav,Down Sharks Tooth. Positieve spin van twee toeren bij de ingang.
2026/basic/nl/default/mnvr10.wav,Split S. Halve rol om te beginnen.
