filename,text
en/gb/180-inverted-turn-fca74fc8.wav,180 Degree Inverted Aerobatic Turn.
en/gb/270-degree-roller-751d8c67.wav,"270 Degree Roller. Full roll inside, half roll outside."
en/gb/270-roller-711e718a.wav,270 Degree Roller. Three full rolls inside.
en/gb/45-downline-9fdb799f.wav,45 Downline.
en/gb/90-degree-roller-2c40ae38.wav,90 Degree Roller. Full roll inside. Exit inverted.
en/gb/bow-tie-a0d18cb9.wav,Bow Tie. Half roll on both 45 uplines. Exit inverted.
en/gb/double-humpty-0399fb87.wav,"Double Humpty. Half roll on the downline, outside loop, three-quarter positive snap on the upline. Exit inverted."
en/gb/double-humpty-d8156fd4.wav,"Double Humpty. Quarter roll on the upline, positive snap on the downline, quarter roll on top. Exit inverted."
en/gb/down-fig-n-0f13642e.wav,Down Fig N. Two rolls on the 45 upline.
en/gb/down-humpty-95e6a404.wav,"Down Humpty. Two quarter rolls on the downline, full roll on the upline."
en/gb/down-humpty-bump-c7629585.wav,Down Humpty Bump. Three-quarter positive spin on entry. Exit inverted.
en/gb/down-loop-47ee27c9.wav,"Down Loop. Outside loop, three-quarter opposite roll, one and three-quarter positive snaps at the bottom."
en/gb/down-sharks-tooth-964556f5.wav,"Down Sharks Tooth. Three-quarter roll on the downline, two quarter rolls on the upline. Exit inverted."
en/gb/down-sharks-tooth-spin-dea81b46.wav,Down Sharks Tooth. Two turn positive spin on entry.
en/gb/fig-n-bf2b0a3d.wav,Fig N. Half roll on the inverted 45 downline. Exit inverted.
en/gb/fig-p-958a6404.wav,"Fig P. Four-point roll on the upline, full roll at the top, positive snap on exit."
en/gb/goldfish-632aaaa2.wav,Goldfish. Two quarter rolls on the 45 upline.
en/gb/half-cuban-85915bfc.wav,"Half Cuban. Outside loop, half roll on the downline."
en/gb/half-cuban-95ebc2d7.wav,"Half Cuban. Three-quarter opposite roll on the 45 upline, outside loop, half roll on exit. Exit inverted."
en/gb/half-reverse-cuban-054bb707.wav,"Half Reverse Cuban. Push entry, half roll on the 45 downline, outside loop, three-quarter opposite roll on exit."
en/gb/half-reverse-cuban-1a7c4305.wav,"Half Reverse Cuban. One and a half negative snaps on the downline, inside loop, half roll opposite half roll on exit. Exit inverted."
en/gb/half-reverse-cuban-31ff3d3a.wav,"Half Reverse Cuban. One and a quarter roll, opposite quarter roll on the 45 upline. Inside loop. One and three-quarter positive snaps, opposite three-quarter roll on exit."
en/gb/hammerhead-1f1567df.wav,"Hammerhead. Three-quarter roll, opposite three-quarter positive snap on the upline. Half roll on the downline. Exit inverted."
en/gb/hammerhead-34648bf1.wav,Hammerhead.
en/gb/hammerhead-4aca7f4d.wav,"Hammerhead. Half roll on the upline, three-quarter negative snap then three-quarter roll on the downline."
